model,r2,rmse,mae,mape
Random Forest (Val),0.675524418744933,103.4185251626234,38.48590358036504,29.5449486476017
LightGBM (Val),0.6562010775519181,106.45341206968088,44.89532298732133,51.744329420634195
XGBoost (Val),0.6320402648662132,110.13046661644877,44.115456973339896,49.256478084886446
Gradient Boosting (Val),0.6135756470693012,112.85987754271049,46.47285864452476,58.41950132959438
Ridge (Val),0.5290091565483417,2.121828665301248,1.5230482047514218,27.01089803567292
ElasticNet (Val),0.44648539589477976,2.3002160117345,1.7026550737819532,32.11028597721637
Lasso (Val),0.4338307010603374,2.3263616938408918,1.715935192176024,32.174086800571885
