depth_ft,weight_on_bit_klb,torque_ftlb,rpm,anhydrite_pct,calcite_pct,chlorite_pct,epidote_pct,hematite_pct,quartz_pct,h2s_shakers_ppm,h2s_rig_floor_ppm,h2s_pits_ppm,hardness_index,soft_to_hard_ratio,chlorite_likely_imputed,high_wob,high_rpm,high_torque,aggressive_drilling,mse_simplified,quartz_x_wob,rpm_x_torque,hardness_x_wob,rop_ft_hr,rop_transformed
9898.0,49.86,19.361,62.88,0.0,2.0,2.0,0.0,0.0,45.0,0.0,0.0,0.0,3.26,0.0888691401910686,1,0,0,1,0,49.864305335360896,2243.7,1217.4196800000002,162.5436,282.76,12.448469271217231
7326.0,60.06,18.0039,58.59,0.0,5.0,2.0,0.0,0.0,75.0,0.0,0.0,90.0,5.45,0.0933208905479269,1,0,0,1,0,60.08627923520179,4504.5,1054.8485010000002,327.327,40.13,6.1393174804393364
8979.0,13.78,12.6861,72.22,0.0,0.0,2.0,0.0,0.0,50.0,0.0,0.0,0.0,3.55,0.03999200159968,1,0,0,0,0,13.786244054671846,689.0,916.190142,48.919,146.72,9.966771050479302
2884.0,65.65,12.4501,99.13,5.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.925,0.6993006993006993,1,1,1,0,0,65.66050096497065,656.5,1234.178413,60.72625000000001,117.52,9.2170668930328
6955.0,60.12,18.2104,59.89,0.0,5.0,2.0,0.0,0.0,60.0,0.0,0.0,30.0,4.4,0.1166472254624229,1,0,0,1,0,60.134000267727856,3607.2,1090.620856,264.528,77.89,7.935900444365715
7011.0,60.28,17.7826,61.67,0.0,0.0,2.0,0.0,0.0,50.0,0.0,0.0,0.0,3.55,0.03999200159968,1,0,0,1,0,60.28747395176174,3014.0,1096.652942,213.994,146.72,9.966771050479302
614.0,1.7,1.3497,27.04,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.4,0.3992015968063872,1,0,0,0,0,1.700122671130382,8.5,36.495888,0.68,297.5,12.65849991247366
952.0,0.0,1.3497,26.57,0.0,0.0,2.0,0.0,0.0,5.0,70.0,0.0,0.0,0.4,0.3992015968063872,1,0,0,0,0,0.0001560961478192,0.0,35.861529,0.0,229.73,11.617616149574538
2184.0,24.12,16.2928,99.23,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.4,0.3992015968063872,1,0,1,0,0,24.12205370037219,120.6,1616.734544,9.648,787.22,17.24724668763454
1037.0,0.18,1.3497,26.56,0.0,0.0,2.0,0.0,0.0,10.0,70.0,0.0,0.0,0.75,0.1998001998001998,1,0,0,0,0,0.1802390028135209,1.7999999999999998,35.848032,0.135,149.98,10.043357869302483
3557.0,63.88,15.7691,98.12,0.0,0.0,2.0,0.0,5.0,30.0,0.0,0.0,0.0,2.425,0.0571265352756355,1,1,1,0,0,63.88430417294982,1916.4,1547.264092,154.909,359.47,13.464760458671389
1534.0,17.19,14.4636,100.19,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.4,0.3992015968063872,1,0,1,0,0,17.199876017746885,85.95,1449.108084,6.876000000000001,146.72,9.966771050479302
1370.0,25.07,12.6418,103.04,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.75,0.1998001998001998,1,0,1,0,0,25.07887760561576,250.7,1302.611072,18.8025,146.72,9.966771050479302
10301.0,22.59,16.5878,50.12,0.0,0.0,10.0,5.0,0.0,40.0,10.0,0.0,90.0,3.375,0.2221728504776716,0,0,0,0,0,23.260468174193548,903.6,831.380536,76.24125,1.23,0.8883237072994629
212.0,0.92,1.3497,22.92,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.4,0.3992015968063872,1,0,0,0,0,0.9201717663742366,4.6000000000000005,30.935124,0.368,180.09,10.697927858850925
9051.0,54.76,17.3475,67.93,0.0,0.0,2.0,0.0,0.0,60.0,0.0,100.0,0.0,4.25,0.0333277787035494,1,0,0,1,0,54.765986971879286,3285.6,1178.4156750000002,232.73,196.82,11.026935175564532
7157.0,59.72,16.8902,58.81,0.0,5.0,2.0,0.0,0.0,30.0,0.0,0.0,100.0,2.3,0.2332555814728423,1,0,0,1,0,59.73716158711127,1791.6,993.312662,137.356,57.87,7.092079742784791
7892.0,36.98,2.4487,28.15,0.0,2.0,2.0,0.0,0.0,60.0,0.0,0.0,100.0,4.31,0.0666555574070988,1,0,0,0,0,36.98061375572077,2218.8,68.930905,159.38379999999998,112.3,9.06877171295144
9068.0,3.23,14.0137,70.78,0.0,0.0,2.0,0.0,0.0,60.0,0.0,100.0,0.0,4.25,0.0333277787035494,1,0,0,0,0,3.24491563437594,193.8,991.889686,13.7275,66.49,7.478288912339744
5868.0,65.22,10.8422,64.78,0.0,5.0,2.0,0.0,0.0,60.0,0.0,0.0,20.0,4.4,0.1166472254624229,1,1,0,0,0,65.23458081204069,3913.2,702.357716,286.968,48.16,6.602458015442428
2392.0,30.6,13.3941,97.96,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.4,0.3992015968063872,1,0,1,0,0,30.608942179758746,153.0,1312.086036,12.240000000000002,146.72,9.966771050479302
5662.0,64.6,10.289,72.63,0.0,2.0,2.0,0.0,0.0,60.0,0.0,0.0,50.0,4.31,0.0666555574070988,1,1,0,0,0,64.6141478619841,3876.0,747.2900699999999,278.426,52.81,6.845191215151529
8283.0,68.48,17.7384,81.13,0.0,0.0,2.0,0.0,0.0,70.0,0.0,0.0,50.0,4.95,0.0285673475217826,1,1,0,1,0,68.48569068129227,4793.6,1439.116392,338.97600000000006,252.88,11.996257106741028
2094.0,19.28,14.6259,98.26,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.4,0.3992015968063872,1,0,1,0,0,19.281636536546877,96.4,1437.140934,7.712000000000001,878.15,17.83657813387636
6945.0,62.59,16.0715,59.91,0.0,0.0,2.0,0.0,0.0,70.0,0.0,0.0,100.0,4.95,0.0285673475217826,1,0,0,0,0,62.61979095188738,4381.3,962.843565,309.82050000000004,32.31,5.617742242094743
9552.0,69.18,23.0415,53.19,0.0,0.0,2.0,0.0,0.0,60.0,0.0,0.0,100.0,4.25,0.0333277787035494,1,1,0,1,0,69.18618853456373,4150.8,1225.5773849999998,294.01500000000004,198.03,11.049910286923465
