model,r2,rmse,mae,mape
Ridge (Train),0.5109117293168189,2.1697830961592115,1.5570628289305257,842273044.0347085
Lasso (Train),0.4247751427761828,2.3531061565963673,1.7336077579634193,1641434452.020944
ElasticNet (Train),0.43344055741418364,2.3353148378017647,1.7213790745413202,1675718807.8066607
Random Forest (Train),0.8991898615208933,54.24393307574952,19.138103626374683,9906440413.382826
XGBoost (Train),0.8597390804781878,63.98341361845152,31.313543195952203,20331710005.218086
LightGBM (Train),0.7859441784866144,79.04284938468132,36.4866667557693,22262704548.84053
Gradient Boosting (Train),0.8626275402661013,63.32116596141947,34.45154527535077,16694649956.76742
