depth_ft,weight_on_bit_klb,torque_ftlb,rpm,rop_ft_hr,anhydrite_pct,calcite_pct,chlorite_pct,epidote_pct,hematite_pct,quartz_pct,h2s_shakers_ppm,h2s_rig_floor_ppm,h2s_pits_ppm,rop_ft_hr_outlier,weight_on_bit_klb_outlier,torque_ftlb_outlier,rpm_outlier,is_outlier_any,hardness_index,soft_to_hard_ratio,chlorite_likely_imputed,high_wob,high_rpm,high_torque,aggressive_drilling,mse_simplified,quartz_x_wob,rpm_x_torque,hardness_x_wob,rop_log,depth_bin,rop_transformed
109.0,66.3,1.3497,0.1,146.72,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,1,0,0,0,66.30000091985279,331.5,0.13497,26.52,4.995318589984363,0.0,9.966771050479302
110.0,66.3,1.3497,0.1,146.72,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,1,0,0,0,66.30000091985279,331.5,0.13497,26.52,4.995318589984363,0.0,9.966771050479302
111.0,66.3,1.3497,0.1,146.72,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,1,0,0,0,66.30000091985279,331.5,0.13497,26.52,4.995318589984363,0.0,9.966771050479302
112.0,66.3,1.3497,0.1,146.72,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,1,0,0,0,66.30000091985279,331.5,0.13497,26.52,4.995318589984363,0.0,9.966771050479302
113.0,66.3,1.3497,0.1,146.72,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,1,0,0,0,66.30000091985279,331.5,0.13497,26.52,4.995318589984363,0.0,9.966771050479302
114.0,66.3,1.3497,0.1,0.2531,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,1,0,0,0,66.30051299885974,331.5,0.13497,26.52,0.2256204811891022,0.0,0.23212409550284466
115.0,57.74,1.3497,0.09,0.1443,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,57.74078725210629,288.7,0.1214729999999999,23.096000000000004,0.134793096341532,0.0,0.13709671947710353
116.0,0.28,1.3497,26.55,0.5742,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,0.3413394984594317,1.4,35.834534999999995,0.112,0.4537472067262127,0.0,0.48056506257408876
117.0,0.13,1.3497,26.52,1.5244,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,0.1533277137643378,0.65,35.794044,0.052,0.9260034107279476,0.0,1.042325567315601
118.0,0.14,1.3497,26.56,1.0735,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,0.1730854010152284,0.7000000000000001,35.848032,0.056,0.7292380007042989,0.0,0.8001604334327582
119.0,0.25,1.3497,26.41,1.219,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,0.2790037241659886,1.25,35.645577,0.1,0.7970566439504569,0.0,0.882281144948922
120.0,0.45,1.3497,26.53,0.9521,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,0.487218107265357,2.25,35.807541,0.18,0.668905716186911,0.0,0.7282693265868463
121.0,0.26,1.3497,26.41,0.8518,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,0.3013617741935483,1.3,35.645577,0.104,0.6161581390318097,0.0,0.6663009153596386
122.0,2.24,1.3497,26.6,0.6859,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,2.291590774536572,11.2,35.90202,0.8960000000000001,0.5222995458396185,0.0,0.5580412101621329
123.0,2.98,1.3497,26.52,1.2205,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,3.0090890239739942,14.9,35.794044,1.192,0.7977323957500199,0.0,0.8831064504311916
124.0,2.16,1.3497,27.35,0.5916,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,2.221360197805851,10.8,36.914295,0.8640000000000001,0.4647397995706365,0.0,0.4928991454162211
125.0,4.38,1.3497,26.72,0.619,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,4.437335427662957,21.9,36.063984,1.752,0.4818086746954981,0.0,0.5121185357362754
126.0,2.37,1.3497,26.6,1.261,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,2.398247065302911,11.85,35.90202,0.948,0.8158071932958327,0.0,0.9052334331315824
127.0,1.67,1.3497,26.73,1.5629,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,1.6929369197024604,8.35,36.077481,0.668,0.9411394298435456,0.0,1.0614534816367227
128.0,1.74,1.3497,26.76,0.7406,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,1.7881188009592326,8.7,36.117972,0.6960000000000001,0.5542298813732763,0.0,0.5945851835927957
129.0,2.88,1.3497,26.56,0.983,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,2.9161007371601206,14.4,35.848032,1.152,0.6846108495376589,0.0,0.7468787734333004
130.0,3.55,1.3497,26.76,1.4489,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,3.5747569895126463,17.75,36.117972,1.42,0.8956389441432829,0.0,1.0041711221290344
131.0,3.75,1.3497,26.45,1.119,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,3.781620518157662,18.75,35.699565,1.5,0.750944279286162,0.0,0.8262924976893394
132.0,2.55,1.3497,26.92,0.6375,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,2.606114168339768,12.75,36.333924,1.02,0.4931706885272699,0.0,0.5249577291351528
133.0,2.39,1.3497,26.28,0.7828,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,2.4347403077699297,11.95,35.470116,0.956,0.5781851620902637,0.0,0.6221945033805731
134.0,1.14,1.3497,26.58,0.6811,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,1.191910036174215,5.699999999999999,35.875026,0.4559999999999999,0.519448341056876,0.0,0.5547922388218338
135.0,1.81,1.3497,26.62,0.5313,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,1.876375418437096,9.05,35.929014,0.7240000000000001,0.4261170478390249,0.0,0.4497127278191497
136.0,12.38,1.3497,26.35,0.6849,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,12.431179443085338,61.900000000000006,35.564595,4.952000000000001,0.5217062148622025,0.0,0.5573649132372848
137.0,8.33,1.3497,26.12,1.2848,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,8.35722749768304,41.65,35.254164,3.3320000000000003,0.8262784931631282,0.0,0.9180982403635887
138.0,2.19,1.3497,26.62,0.7024,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,2.2404337647389108,10.95,35.929014,0.876,0.5320390201651882,0.0,0.56915695524853
139.0,1.56,1.3497,26.54,0.5487,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,1.6241149776266333,7.800000000000001,35.821037999999994,0.6240000000000001,0.4374158693399916,0.0,0.4623033712639755
140.0,1.66,1.3497,26.62,0.6538,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,1.7141262639349202,8.299999999999999,35.929014,0.664,0.5030756703059293,0.0,0.5361803410271024
141.0,3.0,1.3497,26.69,0.6413,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,3.055310138185168,15.0,36.023493,1.2000000000000002,0.4954886107557528,0.0,0.5275815002354982
142.0,3.71,1.3497,26.52,0.8697,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,3.750688921223144,18.55,35.794044,1.484,0.6257779901890914,0.0,0.6775414008704369
143.0,3.95,1.3497,26.51,0.9291,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,3.988100891278884,19.75,35.780547,1.58,0.6570535729117066,0.0,0.714273831525224
144.0,3.93,1.3497,26.81,0.7497,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,3.97763124522838,19.65,36.18545699999999,1.572,0.5594443446684371,0.0,0.6005809278584409
145.0,3.54,1.3497,26.56,0.7866,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,3.5850012955059003,17.7,35.848032,1.416,0.5803143722856017,0.0,0.6246565285560264
146.0,1.79,1.3497,26.63,0.7755,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,1.835757493316359,8.95,35.942511,0.7160000000000001,0.5740820734010055,0.0,0.6174537697253132
147.0,2.38,1.3497,26.57,0.9972,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0,0,0,0,2.415605171763304,11.9,35.861529,0.952,0.6917461996443172,0.0,0.7553578867558453
