depth_ft,weight_on_bit_klb,torque_ftlb,rpm,anhydrite_pct,calcite_pct,chlorite_pct,epidote_pct,hematite_pct,quartz_pct,h2s_shakers_ppm,h2s_rig_floor_ppm,h2s_pits_ppm,hardness_index,soft_to_hard_ratio,chlorite_likely_imputed,rop_per_wob,rop_per_rpm,rop_per_torque,high_wob,high_rpm,high_torque,aggressive_drilling,mse_simplified,quartz_x_wob,rpm_x_torque,hardness_x_wob,depth_bin,rop_ft_hr
7845.0,69.7,1.5415,27.73,0.0,0.0,5.0,0.0,0.0,40.0,0.0,0.0,0.0,2.925,0.12496875781054737,0,0.45172858987232817,1.135183850036049,20.296487270383498,1,0,0,0,69.70135700936508,2788.0,42.745795,203.8725,15.0,31.49
1811.0,19.85,14.6333,97.22,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.75,0.1998001998001998,1,35.53121852970795,7.257533683019644,48.189274275607275,0,1,0,0,19.852016055077517,198.5,1422.649426,14.887500000000001,3.0,705.65
7340.0,60.04,17.2147,58.82,0.0,5.0,2.0,0.0,0.0,75.0,0.0,0.0,90.0,5.45,0.09332089054792694,1,0.7758534554537886,0.791942886282509,2.704836658983901,0,0,1,0,60.061728941072964,4503.0,1012.568654,327.218,14.0,46.59
9898.0,49.86,19.361,62.88,0.0,2.0,2.0,0.0,0.0,45.0,0.0,0.0,0.0,3.26,0.08886914019106866,1,5.669941848806898,4.496104309111146,14.59707810644778,0,0,1,0,49.864305335360896,2243.7,1217.4196800000002,162.5436,19.0,282.76
7326.0,60.06,18.0039,58.59,0.0,5.0,2.0,0.0,0.0,75.0,0.0,0.0,90.0,5.45,0.09332089054792694,1,0.6680539370734144,0.6848122866894198,2.227724146353649,0,0,1,0,60.08627923520179,4504.5,1054.8485010000002,327.327,14.0,40.13
8979.0,13.78,12.6861,72.22,0.0,0.0,2.0,0.0,0.0,50.0,0.0,0.0,0.0,3.55,0.03999200159968007,1,10.639593908629442,2.031288938114357,11.556304691992029,0,0,0,0,13.786244054671846,689.0,916.1901419999999,48.919,17.0,146.72
2884.0,65.65,12.4501,99.13,5.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.925,0.6993006993006993,1,1.7898263783125188,1.1853943917692151,9.431706005569778,1,1,0,0,65.66050096497065,656.5,1234.178413,60.72625000000001,5.0,117.52
6955.0,60.12,18.2104,59.89,0.0,5.0,2.0,0.0,0.0,60.0,0.0,0.0,30.0,4.4,0.11664722546242293,1,1.2953600532180276,1.3003338898163606,4.274878707382933,0,0,1,0,60.134000267727856,3607.2,1090.620856,264.528,13.0,77.89
7011.0,60.28,17.7826,61.67,0.0,0.0,2.0,0.0,0.0,50.0,0.0,0.0,0.0,3.55,0.03999200159968007,1,2.433571073146459,2.378728923476005,8.246124793453458,0,0,1,0,60.28747395176174,3014.0,1096.652942,213.994,13.0,146.72
614.0,1.7,1.3497,27.04,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.4,0.3992015968063872,1,173.9766081871345,10.99815157116451,218.79826432301243,0,0,0,0,1.700122671130382,8.5,36.495887999999994,0.68,1.0,297.5
952.0,0.0,1.3497,26.57,0.0,0.0,2.0,0.0,0.0,5.0,70.0,0.0,0.0,0.4,0.3992015968063872,1,22973.0,8.642964635063956,168.95638743840553,0,0,0,0,0.00015609614781927396,0.0,35.861529,0.0,1.0,229.73
2184.0,24.12,16.2928,99.23,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.4,0.3992015968063872,1,32.62411935350186,7.93248690044337,48.28741075152734,0,1,0,0,24.12205370037219,120.60000000000001,1616.7345440000001,9.648000000000001,4.0,787.22
1037.0,0.18,1.3497,26.56,0.0,0.0,2.0,0.0,0.0,10.0,70.0,0.0,0.0,0.75,0.1998001998001998,1,789.3684210526316,5.644712081294693,110.30374347282489,0,0,0,0,0.1802390028135209,1.7999999999999998,35.848031999999996,0.135,1.0,149.98
3557.0,63.88,15.7691,98.12,0.0,0.0,2.0,0.0,5.0,30.0,0.0,0.0,0.0,2.425,0.057126535275635534,1,5.626389106276413,3.6632018750636908,22.78140071360217,1,1,0,0,63.88430417294982,1916.4,1547.2640920000001,154.909,6.0,359.47
1534.0,17.19,14.4636,100.19,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.4,0.3992015968063872,1,8.530232558139533,1.4642714570858284,10.137077161176212,0,1,0,0,17.199876017746885,85.95,1449.108084,6.876000000000001,2.0,146.72
1370.0,25.07,12.6418,103.04,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.75,0.1998001998001998,1,5.850079744816586,1.4237748665696262,11.596768839216555,0,1,0,0,25.07887760561576,250.7,1302.6110720000001,18.802500000000002,2.0,146.72
10301.0,22.59,16.5878,50.12,0.0,0.0,10.0,5.0,0.0,40.0,10.0,0.0,90.0,3.375,0.22217285047767163,0,0.05442477876106194,0.024536205864751647,0.07410620684669052,0,0,0,0,23.260468174193548,903.6,831.380536,76.24125,20.0,1.23
