model,r2,rmse,n_features,overfitting_gap
RF Baseline (24 feat),0.675524418744933,103.4185251626234,24,0.224
RF Selected (15 feat),0.672588209333752,103.88539323647963,15,0.22697982350938717
LGBM Baseline (24 feat),0.6562,106.45,24,0.13
LGBM Selected (15 feat),0.6564041051242134,106.4219748425884,15,0.1303178644215809
