depth_ft,weight_on_bit_klb,torque_ftlb,rpm,rop_ft_hr,anhydrite_pct,calcite_pct,chlorite_pct,epidote_pct,hematite_pct,quartz_pct,h2s_shakers_ppm,h2s_rig_floor_ppm,h2s_pits_ppm,rop_ft_hr_outlier,weight_on_bit_klb_outlier,torque_ftlb_outlier,rpm_outlier,is_outlier_any,hardness_index,soft_to_hard_ratio,chlorite_likely_imputed,rop_per_wob,rop_per_rpm,rop_per_torque,high_wob,high_rpm,high_torque,aggressive_drilling,mse_simplified,quartz_x_wob,rpm_x_torque,hardness_x_wob,rop_log,depth_bin
90.0,66.3,1.3497,0.1,146.72,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,2.212637611220027,1333.8181818181818,107.90615576965507,1,0,0,0,66.30000091985279,331.5,0.13497,26.52,4.995318589984363,
91.0,66.3,1.3497,0.1,146.72,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,2.212637611220027,1333.8181818181818,107.90615576965507,1,0,0,0,66.30000091985279,331.5,0.13497,26.52,4.995318589984363,0.0
92.0,66.3,1.3497,0.1,146.72,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,2.212637611220027,1333.8181818181818,107.90615576965507,1,0,0,0,66.30000091985279,331.5,0.13497,26.52,4.995318589984363,0.0
93.0,66.3,1.3497,0.1,146.72,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,2.212637611220027,1333.8181818181818,107.90615576965507,1,0,0,0,66.30000091985279,331.5,0.13497,26.52,4.995318589984363,0.0
94.0,66.3,1.3497,0.1,146.72,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,2.212637611220027,1333.8181818181818,107.90615576965507,1,0,0,0,66.30000091985279,331.5,0.13497,26.52,4.995318589984363,0.0
95.0,66.3,1.3497,0.1,146.72,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,2.212637611220027,1333.8181818181818,107.90615576965507,1,0,0,0,66.30000091985279,331.5,0.13497,26.52,4.995318589984363,0.0
96.0,66.3,1.3497,0.1,146.72,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,2.212637611220027,1333.8181818181818,107.90615576965507,1,0,0,0,66.30000091985279,331.5,0.13497,26.52,4.995318589984363,0.0
97.0,66.3,1.3497,0.1,146.72,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,2.212637611220027,1333.8181818181818,107.90615576965507,1,0,0,0,66.30000091985279,331.5,0.13497,26.52,4.995318589984363,0.0
98.0,66.3,1.3497,0.1,146.72,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,2.212637611220027,1333.8181818181818,107.90615576965507,1,0,0,0,66.30000091985279,331.5,0.13497,26.52,4.995318589984363,0.0
99.0,66.3,1.3497,0.1,146.72,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,2.212637611220027,1333.8181818181818,107.90615576965507,1,0,0,0,66.30000091985279,331.5,0.13497,26.52,4.995318589984363,0.0
100.0,66.3,1.3497,0.1,146.72,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,2.212637611220027,1333.8181818181818,107.90615576965507,1,0,0,0,66.30000091985279,331.5,0.13497,26.52,4.995318589984363,0.0
101.0,66.3,1.3497,0.1,146.72,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,2.212637611220027,1333.8181818181818,107.90615576965507,1,0,0,0,66.30000091985279,331.5,0.13497,26.52,4.995318589984363,0.0
102.0,66.3,1.3497,0.1,146.72,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,2.212637611220027,1333.8181818181818,107.90615576965507,1,0,0,0,66.30000091985279,331.5,0.13497,26.52,4.995318589984363,0.0
103.0,66.3,1.3497,0.1,146.72,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,2.212637611220027,1333.8181818181818,107.90615576965507,1,0,0,0,66.30000091985279,331.5,0.13497,26.52,4.995318589984363,0.0
104.0,66.3,1.3497,0.1,146.72,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,2.212637611220027,1333.8181818181818,107.90615576965507,1,0,0,0,66.30000091985279,331.5,0.13497,26.52,4.995318589984363,0.0
105.0,66.3,1.3497,0.1,146.72,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,2.212637611220027,1333.8181818181818,107.90615576965507,1,0,0,0,66.30000091985279,331.5,0.13497,26.52,4.995318589984363,0.0
106.0,66.3,1.3497,0.1,146.72,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,2.212637611220027,1333.8181818181818,107.90615576965507,1,0,0,0,66.30000091985279,331.5,0.13497,26.52,4.995318589984363,0.0
107.0,66.3,1.3497,0.1,146.72,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,2.212637611220027,1333.8181818181818,107.90615576965507,1,0,0,0,66.30000091985279,331.5,0.13497,26.52,4.995318589984363,0.0
108.0,66.3,1.3497,0.1,146.72,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,2.212637611220027,1333.8181818181818,107.90615576965507,1,0,0,0,66.30000091985279,331.5,0.13497,26.52,4.995318589984363,0.0
109.0,66.3,1.3497,0.1,146.72,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,2.212637611220027,1333.8181818181818,107.90615576965507,1,0,0,0,66.30000091985279,331.5,0.13497,26.52,4.995318589984363,0.0
110.0,66.3,1.3497,0.1,146.72,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,2.212637611220027,1333.8181818181818,107.90615576965507,1,0,0,0,66.30000091985279,331.5,0.13497,26.52,4.995318589984363,0.0
111.0,66.3,1.3497,0.1,146.72,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,2.212637611220027,1333.8181818181818,107.90615576965507,1,0,0,0,66.30000091985279,331.5,0.13497,26.52,4.995318589984363,0.0
112.0,66.3,1.3497,0.1,146.72,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,2.212637611220027,1333.8181818181818,107.90615576965507,1,0,0,0,66.30000091985279,331.5,0.13497,26.52,4.995318589984363,0.0
113.0,66.3,1.3497,0.1,146.72,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,2.212637611220027,1333.8181818181818,107.90615576965507,1,0,0,0,66.30000091985279,331.5,0.13497,26.52,4.995318589984363,0.0
114.0,66.3,1.3497,0.1,0.2531,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0.003816920524807721,2.300909090909091,0.18614400235346032,1,0,0,0,66.30051299885974,331.5,0.13497,26.52,0.22562048118910227,0.0
115.0,57.74,1.3497,0.09,0.1443,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,0.002498701298701299,1.4430000000000003,0.10612635140104436,0,0,0,0,57.74078725210629,288.7,0.12147299999999998,23.096000000000004,0.13479309634153203,0.0
116.0,0.28,1.3497,26.55,0.5742,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,1.98,0.021618975903614456,0.4222990365521807,0,0,0,0,0.34133949845943173,1.4000000000000001,35.834534999999995,0.11200000000000002,0.45374720672621277,0.0
117.0,0.13,1.3497,26.52,1.5244,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,10.888571428571428,0.057459479834150014,1.1211296609546224,0,0,0,0,0.15332771376433785,0.65,35.794044,0.052000000000000005,0.9260034107279475,0.0
118.0,0.14,1.3497,26.56,1.0735,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,7.1566666666666645,0.040402709823108764,0.7895123924395087,0,0,0,0,0.17308540101522843,0.7000000000000001,35.848031999999996,0.05600000000000001,0.7292380007042989,0.0
119.0,0.25,1.3497,26.41,1.219,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,4.688461538461539,0.04613928841786526,0.8965212914613518,0,0,0,0,0.2790037241659886,1.25,35.645576999999996,0.1,0.7970566439504569,0.0
120.0,0.45,1.3497,26.53,0.9521,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0.4,0.3992015968063872,1,2.069782608695652,0.03587415222305953,0.7002279914687063,0,0,0,0,0.487218107265357,2.25,35.807541,0.18000000000000002,0.668905716186911,0.0
